Ano,Empresa,CNPJ,Receita_Liquida,Resultado_Bruto,Resultado_Antes_IR,Lucro_Liquido,Ativo_Total,Patrimonio_Liquido,Passivo_Total,Margem_Liquida,ROE,ROA,Endividamento,Crescimento_Receita
2016,VALE,33.592.510/0001-54,78057424.0,-27191298.0,-45996622.0,0.0,345549435.0,139419590.0,345549435.0,0.0,0.0,0.0,147.8485519861305,-11.574274102333714
2017,VALE,33.592.510/0001-54,94633264.0,20719633.0,13296496.0,0.0,322696154.0,133701739.0,322696154.0,0.0,0.0,0.0,141.35524071231416,21.235443280833863
2018,VALE,33.592.510/0001-54,108532022.0,34533678.0,17669992.0,0.0,328096703.0,148105642.0,328096703.0,0.0,0.0,0.0,121.52883480293072,14.68696884427445
2019,VALE,33.592.510/0001-54,134483126.0,43175744.0,25773768.0,0.0,341714838.0,173682178.0,341714838.0,0.0,0.0,0.0,96.74720914658266,23.911011258962823
2020,VALE,33.592.510/0001-54,148639921.0,2239775.0,-8696040.0,0.0,369670328.0,157149353.0,369670328.0,0.0,0.0,0.0,135.2350302072195,10.526818806992932
2021,VALE,33.592.510/0001-54,206098000.0,62557000.0,24903000.0,0.0,478129515.0,180985777.0,478129515.0,0.0,0.0,0.0,164.18071238824473,38.65588639541864
2022,VALE,33.592.510/0001-54,293524000.0,141335000.0,121343000.0,0.0,499128000.0,197058000.0,499128000.0,0.0,0.0,0.0,153.28989434582712,42.41962561499868
2023,VALE,33.592.510/0001-54,226508000.0,90326000.0,96337000.0,0.0,453387000.0,194894000.0,453387000.0,0.0,0.0,0.0,132.63261054727184,-22.83152314631853
2024,VALE,33.592.510/0001-54,208066000.0,65272000.0,40554000.0,0.0,455984000.0,198325000.0,455984000.0,0.0,0.0,0.0,129.9175595613261,-8.141875783636776
2010,WEG,84.429.695/0001-11,4210620.0,622567.0,559937.0,0.0,6583066.0,3327286.0,6583066.0,0.0,0.0,0.0,97.85092114113424,
2011,WEG,84.429.695/0001-11,4391973.0,602637.0,533634.0,0.0,7511164.0,3543836.0,7511164.0,0.0,0.0,0.0,111.9501015284003,4.30703791840632
2012,WEG,84.429.695/0001-11,5189409.0,663125.0,607021.0,0.0,9105861.0,3906589.0,9105861.0,0.0,0.0,0.0,133.089813133657,18.156668995915947
2013,WEG,84.429.695/0001-11,6173878.0,808411.0,664864.0,0.0,8873550.0,4151626.0,8873550.0,0.0,0.0,0.0,113.73673832854888,18.970734432379487
2014,WEG,84.429.695/0001-11,6828896.0,1011753.0,845304.0,0.0,10141293.0,4642267.0,10141293.0,0.0,0.0,0.0,118.45561662006946,10.60950669903098
2015,WEG,84.429.695/0001-11,7840757.0,1094352.0,962316.0,0.0,11782630.0,5139263.0,11782630.0,0.0,0.0,0.0,129.26692017902178,14.817343828343564
2016,WEG,84.429.695/0001-11,9760323.0,1158245.0,1165810.0,0.0,14261541.0,6156060.0,14261541.0,0.0,0.0,0.0,131.666699154979,24.48189632710209
2017,WEG,84.429.695/0001-11,9367008.0,1063674.0,1127832.0,0.0,13509331.0,6070832.0,13509331.0,0.0,0.0,0.0,122.52849362327932,-4.029733442223171
2018,WEG,84.429.695/0001-11,9523830.0,1182412.0,1140942.0,0.0,13981142.0,6838462.0,13981142.0,0.0,0.0,0.0,104.4486318707335,1.6741952179393893
2019,WEG,84.429.695/0001-11,11970090.0,1507031.0,1344148.0,0.0,15399850.0,7853257.0,15399850.0,0.0,0.0,0.0,96.09507240117064,25.68567477579924
2020,WEG,84.429.695/0001-11,13347434.0,1847734.0,1632455.0,0.0,15687641.0,8929990.0,15687641.0,0.0,0.0,0.0,75.67366816760153,11.506546734402168
2021,WEG,84.429.695/0001-11,17469557.0,2816324.0,2395957.0,0.0,19927896.0,11930298.0,19927896.0,0.0,0.0,0.0,67.03602877312872,30.88326190637092
2022,WEG,84.429.695/0001-11,23563338.0,4158343.0,3657480.0,0.0,23932787.0,14010672.0,23932787.0,0.0,0.0,0.0,70.81826624732918,34.88228694064765
2023,WEG,84.429.695/0001-11,29904722.0,5051587.0,4272872.0,0.0,28134660.0,15248355.0,28134660.0,0.0,0.0,0.0,84.50947659600003,26.91207841605463
2024,WEG,84.429.695/0001-11,32503601.0,6462125.0,5867615.0,0.0,31496270.0,17854776.0,31496270.0,0.0,0.0,0.0,76.40249309204438,8.69053054564426
